47.4;89.5
46.9;89.63
45;81.52
47.2;76.55
51.1;72.72
49.5;78.05
47.3;81.52
44.1;84.3
42.4;83.25
39.7;87.2
45.4;92.15
47.9;95.88
54.8;96.75
51.2;100.31
54.5;103.95
54.2;99.63
53.8;98.7
54.4;95.58
53.6;99.03
55.1;98.34
55;94.23
52.3;93.99
57.6;102.09
59.6;103.94
60.6;106.57
59.8;107.2
59.3;107.67
61.4;109.53
58.6;107.14
60.1;107.39
61.7;111.09
65.1;110.55
67;111.58
69.9;116.67
70.5;118.05
72.1;116.03
69.6;111.68
69.6;111.52
67.7;106.97
64.8;104.95
65;104.26
57.8;108.22
62.7;104.25
63.5;108.43
66.2;108.29
68.1;95.96
63.6;97.55
62.1;96.57
58.6;96.22
61.8;93.98
59.9;90.31
55.7;87.28
54.7;86
54.8;79.31
52.9;72.15
46.2;63.54
42.7;73.9
37.9;69.97
30.9;68.56
30.7;76.98
34.4;81.59
31.6;83.36
37.5;87.3
41.2;91.15
45.1;95.19
47.2;88.75
51.4;86.88
54.4;83.87
55.5;89.04
54.5;91.24
54.9;90.19
58.8;100.86
61.5;99.71
58.4;102.77
60.6;101.64
58.8;100.18
58.2;104.28
55.9;103.44
54.5;102.91
53.6;105.24
53.5;102.9
51.7;102.1
56.6;107.46
54.8;102.03
55;99.82
58.4;98.42
56.9;98.44
59.7;96.12
56.8;100.48
57.7;98.85
54.9;96.77
53.9;96.53
55.4;92.34
56.1;94.83
59.8;95.1
57.4;89.25
55.9;87.04
55;89.21
57.7;96.83
60.2;97.24
60.5;95.53
62.2;100.68
60.3;103.29
60.5;102.54
60.1;93.15
61.3;94.7
59.4;96.11
58.5;99.93
58.2;96.28
57.7;101.59
56.2;101.76
54.4;99.08
52.7;102.91
51.3;103.81
49.5;109.32
49.6;109.32
49;101.82
48;106.16
44.8;107.94
46.2;114.16
50.2;113.66
43.6;102.09
37.4;106.29
29.4;111.24
30.3;114.24
35;121.67
45.5;122.38
50.1;125.46
55.5;127.47
58.2;140.52
53;135.76
49.2;129.55
48.8;131.27
49.6;136
51.6;132.81
53.5;132.59
50.7;131.21
46.7;130.92
48.3;122.79
42.5;116.18
40;121.89
36.1;126.35
37.8;122.55
38.2;120.4
38.3;113.11
36.8;111.96
37.8;116.44
35.5;111.88
38.3;109.61
38.4;107.09
38.3;119.51
38.8;120.42
39.4;133.72
39.2;138.53
42.8;140.64
46;145.3
54.4;148.06
53.9;152.96
54.2;164.43
56.1;162.39
57.5;167.64
63.6;162.56
63.1;164.4
62.5;166.07
64.4;163.55
66;166.4
69.9;164.93
60.5;163.41
61.3;157.06
58.9;159.18
61;160.05
58.6;150.55
58.1;153.18
56.1;150.66
53;166.68
50;166.1
50.8;166.09
50.3;163.58
50.6;167.24
50.3;179.63
49.9;181.18
47.8;180.66
48.2;179.83
47.1;189.55
47.8;191.85
47.9;190.92
47.7;188.63
49.9;182.08
50.9;189.82
52;202.17
50.7;211.28
51.2;211.78
51;226.92
51;238.9
49.7;235.52
53.4;247.35
50.5;250.84
48;236.12
52.6;252.93
52.4;231.32
51.2;243.98
51.2;249.22
50.5;242.17
54.9;274.08
52.6;284.2
55;291.7
55.5;288.36
57.2;290.1
57.4;304
57.5;318.66
59.3;329.8
60;321.83
60.7;251.79
58.8;230.3
61;247.08
57.5;257.07
56.2;267.82
54.6;258.89
55.8;261.33
55.5;262.16
59.3;273.5
58.2;272.02
56;261.52
54.5;271.91
55.4;278.97
55.6;273.7
56;277.72
54.7;297.47
54.1;288.86
51.5;294.87
52.2;309.64
49.3;320.52
47.3;317.98
45.9;346.08
45.1;351.45
46;349.15
46.8;340.36
46.8;345.99
47.4;353.4
47.2;329.08
49.1;331.89
49.9;339.94
50;330.8
49.5;361.23
49.2;358.02
46.6;356.15
46.1;322.56
44.5;306.05
43.2;304
41.3;322.22
40.8;330.22
39.2;343.93
39.4;367.07
40.7;375.22
42.8;375.34
44.5;389.83
50.3;371.16
50.6;387.81
52.9;395.43
54.9;387.86
53.1;392.45
49.5;375.22
46.8;417.09
47.3;408.78
52.7;412.7
54.6;403.69
52.6;414.95
55.7;415.35
53.6;408.14
53.9;424.21
53.4;414.03
49.7;417.8
50.3;418.68
53.6;431.35
54.2;435.71
55.8;438.78
55.2;443.38
53.5;451.67
50.2;440.19
51.2;450.19
49.6;450.53
50.2;448.13
50.7;463.56
50.8;458.93
53.4;467.83
53.8;461.79
55.6;466.45
56;481.61
56.5;467.14
56.9;445.77
57.4;450.91
58.2;456.5
58.8;444.27
58.5;458.26
58;475.49
59;462.71
59.4;472.35
59.2;453.69
56.1;459.27
57.4;470.42
55.1;487.39
52.1;500.71
51.5;514.71
46.7;533.4
45.9;544.75
50.7;562.06
47.1;561.88
48.1;584.41
46.7;581.5
45.9;605.37
46.2;615.93
45.5;636.02
45.9;640.43
46.9;645.5
49.3;654.17
49.1;669.12
53.6;670.63
49.7;639.95
51.6;651.99
51.1;687.33
50.5;705.27
53;757.02
55.2;740.74
53.8;786.16
53.1;790.82
53.8;757.12
53.7;801.34
56.1;848.28
54.9;885.14
57.7;954.31
56.3;899.47
53.9;947.28
56.4;914.62
55.7;955.4
54.5;970.43
53.8;980.28
52.9;1,049.34
52.9;1,101.75
52.2;1,111.75
50.9;1,090.82
48.9;1,133.84
49.2;1,120.67
49.3;957.28
48.7;1,017.01
48.7;1,098.67
48.2;1,163.63
46.8;1,229.23
50.6;1,279.64
51.7;1,238.33
52.4;1,286.37
52.3;1,335.18
54.3;1,301.84
55.8;1,372.71
53.6;1,328.72
54.8;1,320.41
57;1,282.71
57.2;1,362.93
58.1;1,388.91
57.8;1,469.25
56.7;1,394.46
55.8;1,366.42
54.9;1,498.58
54.7;1,452.43
53.2;1,420.60
51.4;1,454.60
52.5;1,430.83
49.9;1,517.68
49.7;1,436.51
48.7;1,429.40
48.5;1,314.95
43.9;1,320.28
42.3;1,366.01
42.1;1,239.94
43.1;1,160.33
42.7;1,249.46
41.3;1,255.82
43.2;1,224.38
43.5;1,211.23
46.3;1,133.58
46.2;1,040.94
40.8;1,059.78
44.1;1,139.45
45.3;1,148.08
47.5;1,130.20
50.7;1,106.73
52.4;1,147.39
52.4;1,076.92
53.1;1,067.14
53.6;989.82
50.2;911.62
50.3;916.07
50.5;815.28
49;885.76
48.5;936.31
51.6;879.82
51.3;855.7
48.8;841.15
46.3;848.18
46.1;916.92
49;963.59
49;974.5
51;993.32
53.2;1,008.01
52.4;995.97
55.2;1,050.71
58.4;1,058.20
60.1;1,111.92
60.8;1,131.13
59.9;1,144.94
60.6;1,126.21
60.6;1,107.30
61.4;1,120.68
60.5;1,140.84
59.9;1,101.72
58.5;1,104.24
57.4;1,114.58
56.3;1,130.20
56.2;1,173.82
57.2;1,211.92
56.8;1,181.27
55.5;1,203.60
55.2;1,180.59
52.2;1,156.85
50.8;1,191.50
52.4;1,191.33
52.8;1,234.18
52.4;1,220.33
56.8;1,228.81
57.2;1,207.01
56.7;1,249.48
55.1;1,248.29
55;1,280.08
55.8;1,280.66
54.3;1,294.83
55.2;1,310.61
53.7;1,270.09
52;1,270.20
53;1,276.66
53.7;1,303.82
52.2;1,335.85
51.4;1,377.94
50.3;1,400.63
51.4;1,418.30
49.5;1,438.24
51.9;1,406.82
50.7;1,420.86
52.6;1,482.37
52.5;1,530.62
52.6;1,503.35
52.4;1,455.27
50.9;1,473.99
51;1,526.75
51.1;1,549.38
50.5;1,481.14
49;1,468.36
50.3;1,378.55
47.6;1,330.63
48.3;1,322.70
48.8;1,385.59
48.8;1,400.38
49.8;1,280.00
50;1,267.38
49.2;1,282.83
44.8;1,166.36
38.9;968.75
36.5;896.24
33.1;903.25
34.9;825.88
35.5;735.09
36;797.87
39.5;872.81
41.7;919.14
45.8;919.32
49.9;987.48
53.5;1,020.62
54.4;1,057.08
56;1,036.19
54.4;1,095.63
55.3;1,115.10
57.2;1,073.87
55.8;1,104.49
58.8;1,169.43
58.1;1,186.69
58.3;1,089.41
56.4;1,030.71
56.4;1,101.60
58;1,049.33
56.3;1,141.20
57.7;1,183.26
57.6;1,180.55
57.5;1,257.64
59;1,286.12
59.3;1,327.22
59.1;1,325.83
58.9;1,363.61
53.7;1,345.20
56.6;1,320.64
52.9;1,292.28
53;1,218.89
52.8;1,131.42
51.8;1,253.30
52.1;1,246.96
53.1;1,257.60
52.8;1,312.41
52.4;1,365.68
53;1,408.47
53.7;1,397.91
53.2;1,310.33
51;1,362.16
50.6;1,379.32
51.1;1,406.58
52.2;1,440.67
51.2;1,412.16
49.5;1,416.18
50.4;1,426.19
52.3;1,498.11
53.1;1,514.68
51.5;1,569.19
50;1,597.57
50;1,630.74
52.5;1,606.28
54.9;1,685.73
56.3;1,632.97
56;1,681.55
56.6;1,756.54
57;1,805.81
56.5;1,848.36
51.3;1,782.59
54.3;1,859.45
54.4;1,872.34
55.3;1,883.95
55.6;1,923.57
55.7;1,960.23
56.4;1,930.67
58.1;2,003.37
56.1;1,972.29
57.9;2,018.05
57.6;2,067.56
55.1;2,058.90
53.5;1,994.99
52.9;2,104.50
51.5;2,067.89
51.5;2,085.51
52.8;2,107.39
53.5;2,063.11
52.7;2,103.84
51.1;1,972.18
50.2;1,920.03
49.4;2,079.36
48.4;2,080.41
48;2,043.94
48.2;1,940.24
49.7;1,932.23
51.7;2,059.74
50.7;2,065.30
51;2,096.96
52.8;2,098.86
52.3;2,173.60
49.4;2,170.95
51.7;2,168.27
52;2,126.15
53.5;2,198.81
54.5;2,238.83
56;2,278.87
57.6;2,363.64
56.6;2,362.72
55.3;2,384.20
55.5;2,411.80
56.7;2,423.41
56.5;2,470.30
59.3;2,471.65
60.2;2,519.36
58.5;2,575.26
58.2;2,647.58
59.3;2,673.61
59.1;2,823.81
60.7;2,713.83
59.3;2,640.87
57.9;2,648.05
58.7;2,705.27
60;2,718.37
58.4;2,816.29
60.8;2,901.52
59.5;2,913.98
57.5;2,711.74
58.8;2,760.17
54.3;2,506.85
56.6;2,704.10
54.1;2,784.49
54.6;2,834.40
53.4;2,945.83
52.3;2,752.06
51.6;2,941.76
51.3;2,980.38
48.8;2,926.46
48.2;2,976.74
48.5;3,037.56
48.1;3,140.98
47.8;3,230.78
50.9;3,225.52
50.3;2,954.22
49.7;2,584.59
41.7;2,912.43
43.1;3,044.31
52.2;3,100.29
53.7;3,271.12
55.6;3,500.31
55.7;3,363.00
58.8;3,269.96
57.7;3,621.63
60.5;3,756.07
58.7;3,714.24
60.8;3,811.15
64.7;3,972.89
60.7;4,181.17
61.2;4,204.11
60.6;4,297.50
59.5;4,395.26
